case_id,dataset,image,method,copied_path,PSNR
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,input,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/input.png,
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,baseline,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/baseline.png,27.152477
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,improved,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/improved.png,27.416184
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,attn,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/attn.png,27.419801
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,naf,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/naf.png,30.679091
main_ceilnet_2010_005293,CEILNet_table2,2010_005293,gt,ERRNet/paper_visuals/selected_images/main_ceilnet_2010_005293/gt.png,
main_wild_54m,SIR2_wild,54-m,input,ERRNet/paper_visuals/selected_images/main_wild_54m/input.png,
main_wild_54m,SIR2_wild,54-m,baseline,ERRNet/paper_visuals/selected_images/main_wild_54m/baseline.png,16.358834
main_wild_54m,SIR2_wild,54-m,improved,ERRNet/paper_visuals/selected_images/main_wild_54m/improved.png,21.236044
main_wild_54m,SIR2_wild,54-m,attn,ERRNet/paper_visuals/selected_images/main_wild_54m/attn.png,16.556022
main_wild_54m,SIR2_wild,54-m,naf,ERRNet/paper_visuals/selected_images/main_wild_54m/naf.png,26.829458
main_wild_54m,SIR2_wild,54-m,gt,ERRNet/paper_visuals/selected_images/main_wild_54m/gt.png,
main_real20_107,real20,107,input,ERRNet/paper_visuals/selected_images/main_real20_107/input.png,
main_real20_107,real20,107,baseline,ERRNet/paper_visuals/selected_images/main_real20_107/baseline.png,25.118478
main_real20_107,real20,107,improved,ERRNet/paper_visuals/selected_images/main_real20_107/improved.png,26.254344
main_real20_107,real20,107,attn,ERRNet/paper_visuals/selected_images/main_real20_107/attn.png,25.759790
main_real20_107,real20,107,naf,ERRNet/paper_visuals/selected_images/main_real20_107/naf.png,26.368714
main_real20_107,real20,107,gt,ERRNet/paper_visuals/selected_images/main_real20_107/gt.png,
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,input,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/input.png,
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,baseline,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/baseline.png,19.473065
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,improved,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/improved.png,19.845848
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,attn,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/attn.png,19.636987
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,naf,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/naf.png,20.477070
main_objects_18_focus_19,SIR2_objects,18-Focus-19-m,gt,ERRNet/paper_visuals/selected_images/main_objects_18_focus_19/gt.png,
special_prior_objects_11_focus_22,SIR2_objects,11-Focus-22-m,input,ERRNet/paper_visuals/selected_images/special_prior_objects_11_focus_22/input.png,
special_prior_objects_11_focus_22,SIR2_objects,11-Focus-22-m,baseline,ERRNet/paper_visuals/selected_images/special_prior_objects_11_focus_22/baseline.png,27.457572
special_prior_objects_11_focus_22,SIR2_objects,11-Focus-22-m,prior,ERRNet/paper_visuals/selected_images/special_prior_objects_11_focus_22/prior.png,28.065913
special_prior_objects_11_focus_22,SIR2_objects,11-Focus-22-m,gt,ERRNet/paper_visuals/selected_images/special_prior_objects_11_focus_22/gt.png,
special_tta_sir2_hi_5_27,sir2_withgt,hi-5-m-27,input,ERRNet/paper_visuals/selected_images/special_tta_sir2_hi_5_27/input.png,
special_tta_sir2_hi_5_27,sir2_withgt,hi-5-m-27,baseline,ERRNet/paper_visuals/selected_images/special_tta_sir2_hi_5_27/baseline.png,21.920435
special_tta_sir2_hi_5_27,sir2_withgt,hi-5-m-27,baseline_tta,ERRNet/paper_visuals/selected_images/special_tta_sir2_hi_5_27/baseline_tta.png,23.186845
special_tta_sir2_hi_5_27,sir2_withgt,hi-5-m-27,gt,ERRNet/paper_visuals/selected_images/special_tta_sir2_hi_5_27/gt.png,
special_realistic_postcard_ea_10_3,SIR2_postcard,ea-10-m-3,input,ERRNet/paper_visuals/selected_images/special_realistic_postcard_ea_10_3/input.png,
special_realistic_postcard_ea_10_3,SIR2_postcard,ea-10-m-3,naf,ERRNet/paper_visuals/selected_images/special_realistic_postcard_ea_10_3/naf.png,20.844416
special_realistic_postcard_ea_10_3,SIR2_postcard,ea-10-m-3,realistic,ERRNet/paper_visuals/selected_images/special_realistic_postcard_ea_10_3/realistic.png,24.982301
special_realistic_postcard_ea_10_3,SIR2_postcard,ea-10-m-3,gt,ERRNet/paper_visuals/selected_images/special_realistic_postcard_ea_10_3/gt.png,
