index,stem,transmission_source,reflection_source,input_path,gt_path
0,voc_syn_00000,2007_000027.png,2010_001499.png,blended/voc_syn_00000.png,transmission_layer/voc_syn_00000.png
1,voc_syn_00001,2007_000032.png,2010_001501.png,blended/voc_syn_00001.png,transmission_layer/voc_syn_00001.png
2,voc_syn_00002,2007_000039.png,2010_001502.png,blended/voc_syn_00002.png,transmission_layer/voc_syn_00002.png
3,voc_syn_00003,2007_000042.png,2010_001503.png,blended/voc_syn_00003.png,transmission_layer/voc_syn_00003.png
4,voc_syn_00004,2007_000068.png,2010_001505.png,blended/voc_syn_00004.png,transmission_layer/voc_syn_00004.png
5,voc_syn_00005,2007_000121.png,2010_001511.png,blended/voc_syn_00005.png,transmission_layer/voc_syn_00005.png
6,voc_syn_00006,2007_000123.png,2010_001514.png,blended/voc_syn_00006.png,transmission_layer/voc_syn_00006.png
7,voc_syn_00007,2007_000129.png,2010_001515.png,blended/voc_syn_00007.png,transmission_layer/voc_syn_00007.png
8,voc_syn_00008,2007_000170.png,2010_001516.png,blended/voc_syn_00008.png,transmission_layer/voc_syn_00008.png
9,voc_syn_00009,2007_000175.png,2010_001518.png,blended/voc_syn_00009.png,transmission_layer/voc_syn_00009.png
10,voc_syn_00010,2007_000187.png,2010_001520.png,blended/voc_syn_00010.png,transmission_layer/voc_syn_00010.png
11,voc_syn_00011,2007_000241.png,2010_001522.png,blended/voc_syn_00011.png,transmission_layer/voc_syn_00011.png
12,voc_syn_00012,2007_000243.png,2010_001525.png,blended/voc_syn_00012.png,transmission_layer/voc_syn_00012.png
13,voc_syn_00013,2007_000250.png,2010_001528.png,blended/voc_syn_00013.png,transmission_layer/voc_syn_00013.png
14,voc_syn_00014,2007_000256.png,2010_001529.png,blended/voc_syn_00014.png,transmission_layer/voc_syn_00014.png
15,voc_syn_00015,2007_000272.png,2010_001533.png,blended/voc_syn_00015.png,transmission_layer/voc_syn_00015.png
16,voc_syn_00016,2007_000332.png,2010_001534.png,blended/voc_syn_00016.png,transmission_layer/voc_syn_00016.png
17,voc_syn_00017,2007_000333.png,2010_001535.png,blended/voc_syn_00017.png,transmission_layer/voc_syn_00017.png
18,voc_syn_00018,2007_000346.png,2010_001536.png,blended/voc_syn_00018.png,transmission_layer/voc_syn_00018.png
19,voc_syn_00019,2007_000363.png,2010_001537.png,blended/voc_syn_00019.png,transmission_layer/voc_syn_00019.png
20,voc_syn_00020,2007_000364.png,2010_001539.png,blended/voc_syn_00020.png,transmission_layer/voc_syn_00020.png
21,voc_syn_00021,2007_000392.png,2010_001540.png,blended/voc_syn_00021.png,transmission_layer/voc_syn_00021.png
22,voc_syn_00022,2007_000423.png,2010_001543.png,blended/voc_syn_00022.png,transmission_layer/voc_syn_00022.png
23,voc_syn_00023,2007_000452.png,2010_001544.png,blended/voc_syn_00023.png,transmission_layer/voc_syn_00023.png
24,voc_syn_00024,2007_000464.png,2010_001548.png,blended/voc_syn_00024.png,transmission_layer/voc_syn_00024.png
25,voc_syn_00025,2007_000491.png,2010_001550.png,blended/voc_syn_00025.png,transmission_layer/voc_syn_00025.png
26,voc_syn_00026,2007_000515.png,2010_001552.png,blended/voc_syn_00026.png,transmission_layer/voc_syn_00026.png
27,voc_syn_00027,2007_000528.png,2010_001553.png,blended/voc_syn_00027.png,transmission_layer/voc_syn_00027.png
28,voc_syn_00028,2007_000529.png,2010_001555.png,blended/voc_syn_00028.png,transmission_layer/voc_syn_00028.png
29,voc_syn_00029,2007_000549.png,2010_001557.png,blended/voc_syn_00029.png,transmission_layer/voc_syn_00029.png
30,voc_syn_00030,2007_000559.png,2010_001560.png,blended/voc_syn_00030.png,transmission_layer/voc_syn_00030.png
31,voc_syn_00031,2007_000572.png,2010_001561.png,blended/voc_syn_00031.png,transmission_layer/voc_syn_00031.png
32,voc_syn_00032,2007_000584.png,2010_001562.png,blended/voc_syn_00032.png,transmission_layer/voc_syn_00032.png
33,voc_syn_00033,2007_000629.png,2010_001563.png,blended/voc_syn_00033.png,transmission_layer/voc_syn_00033.png
34,voc_syn_00034,2007_000636.png,2010_001569.png,blended/voc_syn_00034.png,transmission_layer/voc_syn_00034.png
35,voc_syn_00035,2007_000645.png,2010_001571.png,blended/voc_syn_00035.png,transmission_layer/voc_syn_00035.png
36,voc_syn_00036,2007_000648.png,2010_001572.png,blended/voc_syn_00036.png,transmission_layer/voc_syn_00036.png
37,voc_syn_00037,2007_000661.png,2010_001574.png,blended/voc_syn_00037.png,transmission_layer/voc_syn_00037.png
38,voc_syn_00038,2007_000663.png,2010_001576.png,blended/voc_syn_00038.png,transmission_layer/voc_syn_00038.png
39,voc_syn_00039,2007_000664.png,2010_001577.png,blended/voc_syn_00039.png,transmission_layer/voc_syn_00039.png
40,voc_syn_00040,2007_000676.png,2010_001579.png,blended/voc_syn_00040.png,transmission_layer/voc_syn_00040.png
41,voc_syn_00041,2007_000713.png,2010_001580.png,blended/voc_syn_00041.png,transmission_layer/voc_syn_00041.png
42,voc_syn_00042,2007_000720.png,2010_001586.png,blended/voc_syn_00042.png,transmission_layer/voc_syn_00042.png
43,voc_syn_00043,2007_000727.png,2010_001587.png,blended/voc_syn_00043.png,transmission_layer/voc_syn_00043.png
44,voc_syn_00044,2007_000733.png,2010_001590.png,blended/voc_syn_00044.png,transmission_layer/voc_syn_00044.png
45,voc_syn_00045,2007_000738.png,2010_001592.png,blended/voc_syn_00045.png,transmission_layer/voc_syn_00045.png
46,voc_syn_00046,2007_000762.png,2010_001594.png,blended/voc_syn_00046.png,transmission_layer/voc_syn_00046.png
47,voc_syn_00047,2007_000768.png,2010_001595.png,blended/voc_syn_00047.png,transmission_layer/voc_syn_00047.png
48,voc_syn_00048,2007_000783.png,2010_001596.png,blended/voc_syn_00048.png,transmission_layer/voc_syn_00048.png
49,voc_syn_00049,2007_000793.png,2010_001599.png,blended/voc_syn_00049.png,transmission_layer/voc_syn_00049.png
50,voc_syn_00050,2007_000799.png,2010_001601.png,blended/voc_syn_00050.png,transmission_layer/voc_syn_00050.png
51,voc_syn_00051,2007_000804.png,2010_001602.png,blended/voc_syn_00051.png,transmission_layer/voc_syn_00051.png
52,voc_syn_00052,2007_000807.png,2010_001603.png,blended/voc_syn_00052.png,transmission_layer/voc_syn_00052.png
53,voc_syn_00053,2007_000822.png,2010_001607.png,blended/voc_syn_00053.png,transmission_layer/voc_syn_00053.png
54,voc_syn_00054,2007_000830.png,2010_001608.png,blended/voc_syn_00054.png,transmission_layer/voc_syn_00054.png
55,voc_syn_00055,2007_000836.png,2010_001614.png,blended/voc_syn_00055.png,transmission_layer/voc_syn_00055.png
56,voc_syn_00056,2007_000837.png,2010_001618.png,blended/voc_syn_00056.png,transmission_layer/voc_syn_00056.png
57,voc_syn_00057,2007_000847.png,2010_001619.png,blended/voc_syn_00057.png,transmission_layer/voc_syn_00057.png
58,voc_syn_00058,2007_000876.png,2010_001625.png,blended/voc_syn_00058.png,transmission_layer/voc_syn_00058.png
59,voc_syn_00059,2007_000904.png,2010_001630.png,blended/voc_syn_00059.png,transmission_layer/voc_syn_00059.png
60,voc_syn_00060,2007_000925.png,2010_001633.png,blended/voc_syn_00060.png,transmission_layer/voc_syn_00060.png
