image,PSNR,SSIM,NCC,LMSE
2007_003506,32.800187290034195,0.9846442696693648,0.99813104,0.0006835956
2007_003525,35.80429362055528,0.9896403971123123,0.9980984,0.0004388835
2007_003571,29.736879266809513,0.9864569952880728,0.9882456,0.0017172012
2007_004049,33.11931752258128,0.982664866160729,0.9964354,0.00073690363
2007_006587,23.147602121136725,0.8963644884626957,0.9486974,0.009582027
2007_006900,29.228589232875525,0.9747711842934472,0.9849653,0.0017034537
2007_008567,32.288821393309064,0.9370836532842466,0.996194,0.0009023164
2007_009139,34.05551042985329,0.9761640883107795,0.99677366,0.0010184422
2007_009841,28.91117715381695,0.9408048088787094,0.98655087,0.002033765
2008_000287,31.363371823739914,0.93553439022675,0.9958729,0.0010783712
2008_000973,28.119218301101327,0.9691742089139092,0.9750061,0.0025467116
2008_001139,27.524065729486534,0.972705962352633,0.98951983,0.004515637
2008_001408,31.797617731243292,0.9746624750629942,0.99202627,0.0017953246
2008_002009,33.20591370916731,0.977417309958431,0.9967284,0.0010794344
2008_002399,27.42768430778487,0.9434987504391218,0.9325533,0.0022924272
2008_002666,25.618864902620672,0.946588871033743,0.9752671,0.004037661
2008_002728,26.687826560535242,0.9153779565575207,0.97032714,0.010955915
2008_002762,29.621654495063623,0.9680982075392902,0.99309903,0.0037499222
2008_003008,35.41143496929147,0.9652185321844587,0.9978424,0.0015747516
2008_003049,26.520365351098125,0.9666167708475207,0.98608637,0.009765682
2008_003107,24.581513524047,0.9366281236875568,0.9721398,0.013046226
2008_003772,26.57221773772795,0.9019686410443599,0.949673,0.012061382
2008_004088,32.02137852624488,0.9845587381940947,0.997432,0.0011561775
2008_004102,31.70635501212402,0.9794348306498005,0.9943773,0.00066202227
2008_004990,33.2116093084728,0.9829675481473812,0.9965867,0.0010152282
2008_005178,33.67649056720597,0.9897499015147746,0.9971611,0.0014839763
2008_006409,34.915076621451085,0.9876738561821252,0.9975997,0.0019400376
2008_006432,39.430094059306974,0.989280056175763,0.9968513,0.0002516947
2008_007026,30.48079611916261,0.972684151353265,0.9944213,0.0029701497
2008_007194,31.494125949109073,0.9499340525911159,0.9951856,0.0023223103
2008_007730,26.876267036224544,0.9532251565017577,0.95843023,0.008799805
2008_007909,28.43394349907896,0.9756180250412739,0.9643477,0.0025924311
2008_008180,29.865162081310995,0.9665036639360594,0.9856454,0.0016974944
2008_008694,32.59022316833596,0.980176668797576,0.99470234,0.0013594839
2009_000055,35.91302849899245,0.9948672945928257,0.9975894,0.0006623232
2009_000549,31.3508982078948,0.9530145445330372,0.9930652,0.0013724049
2009_000653,33.22450038328227,0.9544811086728698,0.9943603,0.0010235882
2009_000777,30.174201739423367,0.9815805219492684,0.9925639,0.0031147115
2009_001152,31.639974415742056,0.9672581818820779,0.9946746,0.001328774
2009_001417,23.444792515438944,0.936893342003326,0.97555816,0.009241661
2009_001653,29.000086899910954,0.9678438376261488,0.9850664,0.0032731337
2009_002388,35.90323834715274,0.9788579178053606,0.99811023,0.0011897016
2009_002553,34.860342059154625,0.962993187067298,0.9984328,0.000623584
2009_002629,25.098824614281742,0.9483896751228382,0.98002875,0.0070311544
2009_002672,28.83052538594067,0.970463654860903,0.9879743,0.0062869065
2009_002980,33.96435512874689,0.9795566210725225,0.997005,0.0012061404
2009_003007,25.432722011568938,0.9586441252869787,0.95534086,0.014083173
2009_003032,35.05246629118481,0.9758840538733716,0.9983698,0.00066493073
2009_003705,38.40414690490326,0.9912621819691717,0.998971,0.00011191278
2009_004548,31.79207567839939,0.9620663347425923,0.9939093,0.0034879239
2009_004625,29.01773971843649,0.945956374882348,0.9899039,0.0034985319
2009_004738,30.924280010737323,0.9732759472745586,0.9887528,0.0018562878
2010_000002,26.250786583963222,0.9739958121793605,0.9862209,0.0021066149
2010_001626,33.771810136388275,0.963924580045803,0.98916113,0.003572468
2010_001638,31.765080549752508,0.9744038102931523,0.99514604,0.0013830839
2010_001979,34.986642207428645,0.9767827920543976,0.99715763,0.0009903563
2010_002102,33.1134864487802,0.9680546138387943,0.997621,0.0011102458
2010_002603,29.871056267366953,0.956910028566431,0.9863136,0.005570846
2010_002807,31.038828092743984,0.955884176892086,0.9911095,0.0008276167
2010_003687,30.971423270930586,0.974010755701317,0.9920906,0.0018212107
2010_003717,30.855622573168798,0.9641093037042361,0.95917505,0.008553478
2010_003806,28.99464069569085,0.9613775880702891,0.97915643,0.0033061292
2010_003893,26.023799436039997,0.9595367120163439,0.9872742,0.0073582763
2010_004460,30.300257319669225,0.9805503539063561,0.98575187,0.001566321
2010_004792,29.836514050396868,0.9481219116397198,0.99146783,0.0037862028
2010_005052,31.895810363027135,0.9699035123451082,0.9945394,0.0014238686
2010_005101,28.802691327286386,0.9762867729817923,0.9830901,0.0016747589
2010_005133,26.237398277644747,0.9627424940207225,0.96949565,0.0019278475
2010_005293,30.67909058171408,0.9699645212012483,0.98773766,0.0019970888
2010_005426,24.304122992394685,0.8935594848383355,0.9431619,0.010996894
2010_005538,27.890139525535286,0.9303486295230504,0.9828104,0.0068857963
2011_000098,29.19187373296891,0.9690941279864882,0.98959947,0.0038563285
2011_000145,33.73567806446477,0.9805100866901301,0.9951409,0.00079582847
2011_000449,30.101995914616676,0.9486884452141199,0.9931334,0.0020534722
2011_001167,29.92474975394184,0.9690578920062843,0.98122865,0.0029416052
2011_001531,26.576911900688128,0.8863681646892898,0.9680775,0.007831551
2011_001790,28.041343619986076,0.968243955385868,0.9898186,0.0026039614
2011_001955,29.645868469342528,0.9650245599557395,0.99217623,0.0047292775
2011_002248,33.51187791844055,0.9728781980028347,0.9974472,0.00062806194
2011_002974,28.003906371048185,0.9695078251804007,0.98590004,0.0050978
2011_003601,34.28677466158131,0.9235507985293485,0.9960119,0.0026995
2011_004611,38.286904929276595,0.9878012242184305,0.99672574,0.00039126855
2011_005033,31.765862687079306,0.9809427923889142,0.99315387,0.0012376358
2011_005170,32.72334762381808,0.9813224126608174,0.9966348,0.0015108153
2011_005577,34.78462266330414,0.972461654403992,0.99814284,0.0006921678
2011_005930,34.368314672622525,0.9854192681824007,0.99565107,0.00074994314
2011_006068,30.656447558268734,0.9502670614954534,0.9953207,0.0012601956
2011_006315,28.84033000394672,0.9131635826286962,0.98581564,0.0022942803
2011_006381,30.80760254284877,0.9599986572937333,0.99379134,0.002446563
2011_006676,28.479179019154028,0.9679956086492144,0.9874031,0.0028902928
2011_006779,27.83132486769099,0.9595381893128189,0.9901136,0.0032850297
2011_006853,29.6258646015757,0.9561323648634249,0.9922537,0.001921516
2011_006998,25.24417714933972,0.8985118180502193,0.96828014,0.0058250916
2012_000071,28.159736661835854,0.956980082759609,0.98998994,0.003395343
2012_002306,29.610306600333924,0.9618399813251256,0.9929987,0.002781579
2012_002515,25.23185761888358,0.930493430341027,0.9695114,0.0028475916
2012_002694,26.148946641481132,0.9157084987541384,0.9732411,0.005077733
2012_002979,29.573988017785165,0.9782653971277048,0.99352264,0.0026761468
2012_003303,27.767615815759726,0.9148434248910094,0.98705727,0.002681593
2012_003521,27.780748705093576,0.9568599877490795,0.9780604,0.006746437
