image,PSNR,SSIM,NCC,LMSE
1-Focus-11-m,27.44521694865071,0.9015120007899761,0.97876734,0.0036210932
1-Focus-13-m,27.36855159367104,0.8971156409465726,0.9783717,0.0037632114
1-Focus-16-m,26.293093535134233,0.8812477797931488,0.9739826,0.0040424033
1-Focus-19-m,26.861068396560785,0.8791898489847996,0.97473305,0.004118274
1-Focus-22-m,26.275593426535696,0.8764899877165148,0.97343475,0.0040754676
1-Focus-27-m,25.42162834665052,0.8662877503332126,0.96958727,0.0044505745
1-Focus-32-m,25.818502574848353,0.8661380155806971,0.97066796,0.0045176973
1-Thick-10-m,24.558706901750373,0.8448536056358386,0.9617188,0.006521409
1-Thick-3-m,25.173827891731843,0.853514068092102,0.9680221,0.005495649
1-Thick-5-m,25.818502574848353,0.8661380155806971,0.97066796,0.0045176973
10-Focus-11-m,22.772747180445663,0.8818692605086883,0.98169726,0.002760402
10-Focus-13-m,23.047766710729817,0.8834153392456695,0.98217744,0.0024204522
10-Focus-16-m,22.79709883835751,0.8793605394623584,0.9820877,0.002575331
10-Focus-19-m,23.638082191196897,0.8834150687782548,0.98455536,0.0024339324
10-Focus-22-m,22.840967852904626,0.8736330349166027,0.9841047,0.002561972
10-Focus-27-m,23.104691087456093,0.8805790280025012,0.98322654,0.0024840294
10-Focus-32-m,22.830908900568918,0.8731604940587522,0.98221034,0.002466767
10-Thick-10-m,23.903421236694232,0.8879496348957095,0.98544973,0.0020606073
10-Thick-3-m,23.935910119656157,0.889374274628408,0.9839572,0.0020409005
10-Thick-5-m,22.838612091435902,0.8735188086860548,0.98233455,0.0024559987
11-Focus-11-m,26.80553179355101,0.9258103901515357,0.9913569,0.0025074496
11-Focus-13-m,26.923499431885787,0.9245189631496996,0.99156857,0.0026224735
11-Focus-16-m,26.66742514173389,0.9240162335181052,0.99117744,0.0026502868
11-Focus-19-m,27.38072943891245,0.925999412243684,0.992096,0.0025401784
11-Focus-22-m,27.023412359876307,0.9257750469110837,0.991785,0.00256154
11-Focus-27-m,26.663972828567143,0.9238662111356515,0.991183,0.0026486078
11-Focus-32-m,27.156827580051964,0.9258740525079125,0.99173826,0.0025157284
11-Thick-10-m,28.203732373131412,0.9379960678270901,0.99280506,0.0022598566
11-Thick-3-m,28.5284944404566,0.9330868786801547,0.9943043,0.0023427652
11-Thick-5-m,27.156827580051964,0.9258740525079125,0.99173826,0.0025157284
12-Focus-11-m,24.537482099626562,0.910781415894264,0.98775935,0.0036218262
12-Focus-13-m,24.666244568552187,0.9084037651577314,0.9880437,0.0038610282
12-Focus-16-m,24.329177279218687,0.9059765172500218,0.9875559,0.004003036
12-Focus-19-m,24.8122230800308,0.9062151329942475,0.9883324,0.0038607111
12-Focus-22-m,24.15497485215322,0.9023643699938656,0.98732597,0.003991257
12-Focus-27-m,24.689679431619126,0.9065875530948936,0.98723274,0.003757483
12-Focus-32-m,24.5968231311476,0.9045954523225932,0.9878102,0.0037482204
12-Thick-10-m,26.530563821591613,0.9195927771594937,0.9910824,0.00293825
12-Thick-3-m,24.91871214485845,0.9030467517490557,0.98773366,0.003541996
12-Thick-5-m,24.61063589651499,0.9048828682362351,0.9878607,0.003746148
13-Focus-11-m,23.91328094531559,0.9038011082963046,0.9853481,0.003510319
13-Focus-13-m,24.078517535033768,0.9019058626715575,0.98612815,0.0036337324
13-Focus-16-m,24.12631004612858,0.9011179495133446,0.9859458,0.0036663534
13-Focus-19-m,24.098177500451754,0.9008193804234707,0.9856406,0.0036625203
13-Focus-22-m,23.682568649321023,0.8973200876870239,0.9846527,0.0037924962
13-Focus-27-m,23.78673661163198,0.8985583142314603,0.9854501,0.0036667446
13-Focus-32-m,23.45743817355836,0.8931777198641667,0.9839215,0.0039151167
13-Thick-10-m,25.950080700336088,0.913234124708155,0.9899406,0.0025456224
13-Thick-3-m,24.64869045716486,0.8973533472099229,0.9860098,0.0031666544
