image,PSNR,SSIM,NCC,LMSE
ab-10-m-3,18.634712116364845,0.7919311220664097,0.8657812,0.01179378
ab-3-m-32,18.028009204723443,0.8086928197455142,0.87430763,0.00983331
ab-5-m-11,20.459496997188754,0.8909575364709942,0.94049364,0.0054039396
ab-5-m-13,20.83476655932599,0.8866148081513979,0.9382893,0.0055912198
ab-5-m-16,20.610314183316632,0.8860638125794426,0.9375823,0.00543924
ab-5-m-19,21.460224754237203,0.8853544004895285,0.93195015,0.005288429
ab-5-m-22,21.213215120605444,0.8806108334825115,0.9236651,0.004712875
ab-5-m-27,19.56246377456458,0.8476056807058505,0.8987348,0.0058268313
ab-5-m-32,18.306064166070566,0.8074668682939162,0.87734103,0.00999932
ae-10-m-3,23.194513737108892,0.8881086619384636,0.92833126,0.004813358
ae-3-m-32,22.998530208244503,0.9120090277979053,0.9269055,0.0039785183
ae-5-m-11,22.634528253098768,0.9347127112736585,0.9388408,0.0039809267
ae-5-m-13,22.52026222087072,0.930645643289003,0.93645173,0.0041444316
ae-5-m-16,22.451151216935216,0.9271334593595731,0.93542856,0.00419479
ae-5-m-19,22.60042727297188,0.9243640391732635,0.9326785,0.0042368392
ae-5-m-22,22.442961785196662,0.9204700259299384,0.92979354,0.0042244443
ae-5-m-27,22.68774456585292,0.9169861993358946,0.9292684,0.0042731846
ae-5-m-32,22.335908139527834,0.9160303809637328,0.92811805,0.004285517
ah-10-m-3,23.77687781133119,0.9332773568047154,0.9491404,0.0022553694
ah-3-m-32,23.530909557077393,0.9335754328736222,0.9488406,0.0024376865
ah-5-m-11,23.564088354142147,0.9376418404038999,0.95302165,0.0024716714
ah-5-m-13,23.61333487942024,0.9367537908684946,0.9524995,0.0024986858
ah-5-m-16,23.356099659176937,0.9340400549674347,0.95072407,0.002595675
ah-5-m-19,23.55191234556715,0.9340458037794303,0.95105404,0.002621716
ah-5-m-22,23.464842604043426,0.9340146475405348,0.9501834,0.002549388
ah-5-m-27,23.760302042111547,0.9341284795347665,0.95207095,0.0024953133
ah-5-m-32,23.8976887661062,0.9328648622606984,0.95311177,0.0023324636
ai-10-m-3,18.367164061755737,0.8713906370979743,0.8703465,0.010375366
ai-3-m-32,16.648847869887124,0.8569404904480233,0.847864,0.012107775
ai-5-m-11,18.30128843427374,0.8836944671457662,0.8638015,0.009489714
ai-5-m-13,17.987360863274784,0.877899755285492,0.8498579,0.010388058
ai-5-m-16,18.4489433746283,0.8834107949656667,0.8632646,0.00942348
ai-5-m-19,18.06596874831814,0.8755353954491237,0.8475005,0.010534987
ai-5-m-22,18.526816697847753,0.8824639358513299,0.86187273,0.009366469
ai-5-m-27,18.101159648217433,0.874122827110432,0.8500703,0.010353495
ai-5-m-32,17.193342759724626,0.8654370640700702,0.8545773,0.010746976
ba-10-m-3,23.704976651214718,0.8446784828669093,0.95907086,0.0034486551
ba-3-m-32,24.02166178123873,0.8482063919920485,0.9599566,0.0032331904
ba-5-m-11,26.111485571060385,0.9284885697019648,0.9764053,0.001923349
ba-5-m-13,26.263758968309006,0.9237514477849077,0.97624916,0.0020455497
ba-5-m-16,25.925697024626768,0.916867851396553,0.9747283,0.0021399595
ba-5-m-19,25.59086133473743,0.9009227637023308,0.9730609,0.0024249533
ba-5-m-22,24.666036298541588,0.877703108540253,0.9685847,0.0027695545
ba-5-m-27,24.257862855118958,0.853425628155589,0.96353835,0.003156017
ba-5-m-32,23.83226976613128,0.8402497694093453,0.96026224,0.0034352955
be-10-m-3,22.429162489162717,0.7506191448926174,0.9271125,0.00795687
be-3-m-32,22.492769803557113,0.789130716750475,0.92942244,0.0060324194
be-5-m-11,25.75673445059292,0.9362048219669465,0.9636492,0.0029781593
be-5-m-13,25.805431563341596,0.9315892115523532,0.9652465,0.0031074884
be-5-m-16,24.868918337522626,0.9203650787437456,0.96239334,0.0032698403
be-5-m-19,23.905983950534353,0.8881559410572857,0.95576173,0.0037750052
