image,PSNR,SSIM,NCC,LMSE
1-m,23.818516568376626,0.804872844303194,0.9446677,0.018805213
10-m,22.497923571195084,0.9470006585852487,0.99532485,0.0032653066
100-m,25.489737000160023,0.9587903767492243,0.9736448,0.0010226001
101-m,29.886174337558145,0.9378176125736831,0.9841153,0.0027030895
102-m,27.05604947869236,0.9569752973680711,0.9838657,0.00057791476
103-m,18.01266058535762,0.8630225607579821,0.9348956,0.0023779876
104-m,28.70903350930833,0.9381177951526172,0.9955293,0.00070032006
105-m,17.42586389530336,0.7008578754290132,0.63953835,0.02404943
106-m,29.916783259512542,0.9503550505862268,0.99530745,0.0020822475
107-m,27.429815529688724,0.9399887720206638,0.9841323,0.0053198715
108-m,18.039852085516692,0.9337891588541823,0.96020067,0.0037512656
109-m,26.3659751756043,0.9471641078898827,0.9877169,0.0013973617
11-m,22.227423083228377,0.9748953691711549,0.9824031,0.000468537
12-m,27.341189631081264,0.9241486015500255,0.9948222,0.0012383624
13-m,23.933112747997104,0.9234713277871179,0.95112115,0.004471526
14-m,28.99396520266471,0.9620643846719523,0.9909499,0.00082926423
15-m,22.29921602367909,0.8939291653813446,0.9411396,0.005734197
16-m,31.26483619552272,0.9503464344429334,0.9940054,0.0033047993
17-m,24.691124391572128,0.9342021611416905,0.93169177,0.0020805497
18-m,24.06710668723784,0.90876024389708,0.91946256,0.0023327714
2-m,22.336334068077623,0.7765172020394262,0.82413673,0.03509895
22s-m,17.554533226202377,0.8805189111138815,0.89968306,0.013761353
23s-m,29.266959996677084,0.9790255054702133,0.9913934,0.0006302832
24-m,29.557655529539062,0.9693718600151807,0.993275,0.00096954964
25s-m,30.713429170284723,0.9663472362325615,0.99437565,0.0004962477
26-m,19.2321061215905,0.8077082932675506,0.8270958,0.010917682
27-m,17.570383496929846,0.808166400911181,0.7433959,0.010376
28-m,23.18825407412427,0.93558127352216,0.9490191,0.0020476137
29-m,16.93387446896511,0.7348149949166425,0.90477765,0.01137038
3-m,30.743305810622918,0.9516833623762274,0.99197227,0.001277806
30-m,27.14362165626375,0.9200201099475599,0.9855299,0.0045017684
34-m,25.907880145842494,0.9401606886515513,0.98094416,0.0022148043
35-m,20.885839012219442,0.9246043463707775,0.9503114,0.0038359652
36-m,25.49230966994858,0.9432997602382586,0.9884589,0.0021962256
37-m,20.761427053886194,0.8646184723983223,0.9045713,0.0056211576
38-m,16.570584891110514,0.8549099857430013,0.91490686,0.0062941443
39-m,30.284076745983057,0.9645074761648226,0.9949094,0.000830122
4-m,34.67906735586962,0.9727157192382743,0.99691725,0.00082900363
40s-m,32.33039924607134,0.9816544132052121,0.9952992,0.00044100248
41-m,19.286677968400987,0.8717136673646771,0.9058766,0.0056440905
42-m,15.58332768803823,0.7885669290531583,0.76601887,0.010057542
43-m,28.649800338266004,0.9709500155278871,0.996495,0.00039549422
44s-m,26.802764747193432,0.9688997351096478,0.98092616,0.00060652936
45-m,29.877677567234414,0.9752899215221321,0.99547356,0.00039683565
46s-m,26.510217871036634,0.9217606489438914,0.99164575,0.0031897405
47-m,28.976908315998532,0.9547292308414758,0.99185133,0.00084405125
49-m,25.586191819497106,0.9621988865079825,0.973843,0.0007130941
5-m,26.575413303320104,0.9628843121424762,0.9945794,0.0011166801
50-m,18.815918225615913,0.9150434540365021,0.9560172,0.003254662
51s-m,26.174153906837194,0.977757803187895,0.9819233,0.0013193779
52s-m,38.687971956573676,0.98264967672362,0.998908,0.00028108837
53s-m,24.481232012844057,0.9644562518132815,0.9829094,0.0012348889
54-m,26.829457654094465,0.9594970681613707,0.988955,0.0018421975
55s-m,30.28708497341528,0.9504837189351202,0.99072653,0.0006689185
56s-m,17.541279633248795,0.8197608929662237,0.6079857,0.010090104
57-m,28.915600432053836,0.9684643355395673,0.99415445,0.00091057044
58s-m,25.620484438685576,0.8819527467353031,0.65135825,0.012096504
59-m,19.148935554284538,0.9322362220270947,0.92555916,0.0011128037
6-m,27.80978828584855,0.9595564246488344,0.99681634,0.00078964984
60s-m,32.03228933488694,0.9794584089097822,0.9957581,0.00054470845
61-m,27.059750642546152,0.8912284945986467,0.98993045,0.0052720453
62-m,30.294567589847976,0.9347248671934717,0.99570715,0.0015288654
63-m,27.630604496928083,0.9521315834273777,0.9933317,0.0013163314
64-m,26.42616841062333,0.9438431487256764,0.9875268,0.0010182573
65-m,24.29238015781067,0.9314557940499406,0.9781263,0.001007144
66-m,25.404053138861475,0.8551396915989443,0.96975815,0.008939702
67s-m,22.907276893023717,0.7966218810876718,0.91735715,0.0076640155
68-m,27.219202303606522,0.9598676013127294,0.99315006,0.0006651076
69-m,31.754852156369854,0.9622471526607456,0.9966798,0.00061935483
70-m,25.517488571507318,0.9397260408931992,0.99637765,0.0006801709
71-m,36.06032082359069,0.9722880953472602,0.99880344,0.0003061754
72-m,34.062871898722285,0.9721310472534705,0.99871707,0.00052923727
73-m,29.025433534461158,0.9436751350758005,0.9946004,0.001354026
74-m,24.529761130910686,0.7664355740296691,0.95044947,0.025107885
75-m,28.026646183973714,0.8168949437174507,0.93667084,0.00961372
76s-m,21.573242752299972,0.751563918130752,0.7017324,0.036429852
77-m,25.815268377623045,0.8971179771582066,0.98849666,0.0019002119
78-m,27.2682024009594,0.941345437866373,0.9739348,0.0021285135
79s-m,27.408468358613643,0.8976284542870734,0.9750076,0.0025141023
7s-m,29.495844026666106,0.9434615938698436,0.9954885,0.0010146684
80-m,31.97315759408282,0.9524604187595234,0.9934441,0.0024473474
81-m,30.56420596794672,0.9548217447949088,0.9877773,0.0030484858
82-m,23.21881584644763,0.8979098408025404,0.9424513,0.006621561
