image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
2007_003506,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_003506/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_003506.png,224,224,20.577688981154843,0.9583316839071845,0.979762527745873,0.0027685764780831634
2007_003525,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_003525/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_003525.png,224,224,29.11401912323326,0.9767068561746122,0.9968474437296461,0.0008516815947348973
2007_003571,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_003571/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_003571.png,224,224,26.92001255652661,0.9764680153381294,0.98314399024092,0.0028404260745934873
2007_004049,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_004049/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_004049.png,224,224,25.902068420676308,0.9692470562239955,0.9919902947672496,0.0015844221222024427
2007_006587,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_006587/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_006587.png,224,224,22.040477192731966,0.8858160734215272,0.9315852523893992,0.011476445029779821
2007_006900,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_006900/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_006900.png,224,224,26.51933177780559,0.9585244180934381,0.9752397971215246,0.0027657077351402343
2007_008567,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_008567/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_008567.png,224,224,30.45609857182328,0.9234940106475946,0.9947515560795485,0.0010719395308141423
2007_009139,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_009139/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_009139.png,224,224,31.553780696008413,0.9626523575628282,0.9953957606035488,0.0013582972044649164
2007_009841,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2007_009841/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2007_009841.png,224,224,21.65680957457875,0.9210845547105505,0.9728650131156573,0.00344683301869108
2008_000287,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2008_000287/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2008_000287.png,224,224,27.239448561513765,0.8595938038448948,0.9904091425409861,0.0022260133816547735
2008_000973,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2008_000973/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2008_000973.png,224,224,26.23140157269265,0.9506312166600265,0.9717129759540163,0.0031731394009244375
2008_001139,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2008_001139/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2008_001139.png,224,224,26.408548412778046,0.95921118428427,0.9873016056601251,0.006304624332152503
2008_001408,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2008_001408/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2008_001408.png,224,224,28.27779054890967,0.9579406659477644,0.9846053589504864,0.003187880349177443
2008_002009,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/CEILNet_table2/2008_002009/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/testdata_CEILNET_table2/transmission_layer/2008_002009.png,224,224,27.694443549006742,0.9637270571162416,0.9903556122799513,0.0018511912916732202
