image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-Focus-11-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-11-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-11-m.jpg,540,400,26.120240295471465,0.8807419105991995,0.9729154517519928,0.0039602198786719426
1-Focus-13-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-13-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-13-m.jpg,540,400,26.313385946739217,0.8823454679716396,0.9743264431256341,0.004092294848194215
1-Focus-16-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-16-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-16-m.jpg,540,400,25.617779296567427,0.8737884131392338,0.9714615745633515,0.0042510147033436784
1-Focus-19-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-19-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-19-m.jpg,540,400,26.459530783728784,0.8746775055260779,0.9743458527525316,0.004177220770883431
1-Focus-22-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-22-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-22-m.jpg,540,400,25.855510397388123,0.8724567172883884,0.973234827621937,0.004191521707471903
1-Focus-27-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-27-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-27-m.jpg,540,400,24.980246552860063,0.861636848272938,0.9684829315647712,0.004599383054403002
1-Focus-32-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Focus-32-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-32-m.jpg,540,400,25.549322170576776,0.8637609899706916,0.9705690653959976,0.00448659963350814
1-Thick-10-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Thick-10-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-10-m.jpg,540,400,24.855998631190587,0.8508963548089293,0.9653861419533192,0.00583201163445627
1-Thick-3-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Thick-3-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-3-m.jpg,540,400,25.17842893929028,0.855681703122329,0.9676192730379835,0.005359426944080684
1-Thick-5-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_objects/1-Thick-5-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-5-m.jpg,540,400,25.549322170576776,0.8637609899706916,0.9705690653959976,0.00448659963350814
