image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
ab-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-10-m-3.png,540,400,22.12207769373441,0.8625776683740917,0.9398625361916383,0.00539352535982463
ab-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-3-m-32.png,540,400,21.797153275069718,0.872776644806105,0.9457505671069529,0.004822698868528925
ab-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-11.png,540,400,20.42428886397871,0.8833528125128365,0.9365712357169838,0.005455087713501287
ab-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-13/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-13.png,540,400,20.558348173918066,0.876776550471359,0.9354291350091729,0.005779153702201102
ab-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-16/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-16.png,540,400,20.592660072270537,0.8801755450374728,0.9364269800056014,0.0053416182350455805
ab-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-19/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-19.png,540,400,20.759065347086825,0.8715474056153679,0.9361173372321133,0.005806542508773259
ab-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-22/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-22.png,540,400,21.307233137795265,0.8719119505303317,0.9410002837371366,0.005266089116340236
ab-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-27/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-27.png,540,400,21.895031994845535,0.8725818154391815,0.9440054377963105,0.005197877034199337
ab-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ab-5-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-32.png,540,400,21.831146521997866,0.87057207163572,0.9431556858748916,0.004863277628143094
ae-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-10-m-3.png,540,400,22.517038797298376,0.8450421144982733,0.934645855951951,0.008430358280008547
ae-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-3-m-32.png,540,400,22.777990902418786,0.8908437776279303,0.9343879696467976,0.005923590105393597
ae-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-11.png,540,400,22.607598099494993,0.9205565125787629,0.9370997143470373,0.004303088645089889
ae-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-13/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-13.png,540,400,22.632114462774755,0.9150887998497397,0.9383763801465886,0.004557152569172474
ae-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-16/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-16.png,540,400,22.679379729348298,0.9114883242488357,0.9364292519742001,0.004593656542291161
ae-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-19/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-19.png,540,400,22.708843132544906,0.9077210380821871,0.9379532206198291,0.004850087994309962
ae-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-22/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-22.png,540,400,22.518201357837874,0.900234861953647,0.9338424912240795,0.0051177472101033745
ae-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-27/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-27.png,540,400,22.579297510361926,0.8954379915963703,0.9356237787174835,0.005605427859425709
ae-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ae-5-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-5-m-32.png,540,400,22.294650261458536,0.8890802186296137,0.9319039893594462,0.0059415952004656485
ah-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-10-m-3.png,540,400,22.61118966302493,0.9237826768500795,0.9307493473310833,0.0025941924753470724
ah-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-3-m-32.png,540,400,22.505367606205162,0.9260368810047179,0.9305720216034123,0.002517222420497682
ah-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-11.png,540,400,23.150543022757844,0.9289786813623983,0.9425330924774163,0.002614387223822508
ah-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-13/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-13.png,540,400,23.107907394946295,0.9264934185817572,0.9405944512256841,0.0027573515280142546
ah-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-16/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-16.png,540,400,22.97973238727043,0.9228626228282746,0.9386955073747286,0.0028868207750183225
ah-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-19/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-19.png,540,400,23.022561624576557,0.9241103373957369,0.9385053979257033,0.002814598144513762
ah-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-22/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-22.png,540,400,22.959020781218126,0.9248613884295276,0.9375225033140475,0.0026593222799430882
ah-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-27/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-27.png,540,400,22.952103928811614,0.9236969335349793,0.9366964718316634,0.0026685354993995257
ah-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ah-5-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ah-5-m-32.png,540,400,22.7686924803077,0.9222745507854254,0.9364076768043019,0.0025618604619145066
ai-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-10-m-3.png,540,400,22.05705923933008,0.9110800355904091,0.9334804973010368,0.00526005108566077
ai-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-3-m-32.png,540,400,20.26050522805636,0.9021091505958664,0.9289799128021722,0.0060833060226858126
ai-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-11.png,540,400,21.86773907635108,0.9230746907983827,0.9303272301863333,0.004261260210973112
ai-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-13/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-13.png,540,400,22.25571688036215,0.9215603300620728,0.9321428805805502,0.004675282521842978
ai-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-16/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-16.png,540,400,21.85368824281622,0.9255814979902711,0.933810151306618,0.003723398149808345
ai-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-19/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-19.png,540,400,22.535191130913375,0.9264549606323852,0.9381641410228592,0.00404696624294116
ai-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-22/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-22.png,540,400,22.09156439711089,0.924802134780249,0.9352940363316916,0.0037090801792333044
ai-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-27/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-27.png,540,400,22.46906564888358,0.9211218143426683,0.935863922454744,0.004523934003847852
ai-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ai-5-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ai-5-m-32.png,540,400,20.856468963763646,0.9133349870870741,0.933901302484382,0.004807678168870536
ba-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-10-m-3.png,540,400,22.872573922176972,0.8300061300201828,0.959836505058375,0.003685924268655136
ba-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-3-m-32.png,540,400,22.823983653265373,0.8380149050857577,0.9644083983609777,0.0033610074907461413
ba-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-11.png,540,400,23.966821921661925,0.9230288908683618,0.9756272311152034,0.001747487490580055
ba-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-13/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-13.png,540,400,24.623035596669144,0.9185375841232452,0.9757959522339145,0.0018644067991686062
ba-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-16/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-16.png,540,400,24.699018140280437,0.9123738781493879,0.9759941073133825,0.0019353076904326562
ba-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-19/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-19.png,540,400,25.003987603368657,0.8941279767324207,0.9757258910807108,0.0022685108512292573
ba-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-22/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-22.png,540,400,24.55066539442204,0.8675161640676025,0.972246834642947,0.002710501950894183
ba-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-27/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-27.png,540,400,23.03056097507803,0.8414818261668123,0.9686946302373813,0.003221545238015877
ba-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/ba-5-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ba-5-m-32.png,540,400,23.10624024611386,0.8277025612566408,0.9635120936671421,0.0035546958446983166
be-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/be-10-m-3/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/be-10-m-3.png,540,400,22.010084243654156,0.7787419167541426,0.9377634156665773,0.00653988422643924
be-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/be-3-m-32/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/be-3-m-32.png,540,400,22.788491413638475,0.7955204220873662,0.9413791152893507,0.005778279212810036
be-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_postcard/be-5-m-11/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/be-5-m-11.png,540,400,24.51322561779303,0.9311574442205514,0.9536025087663376,0.002706399888181476
