image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/1-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/1-m.jpg,540,400,22.613758941455387,0.7732325670756331,0.9329795700159236,0.025304386874693236
10-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/10-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/10-m.jpg,540,400,26.8302487224563,0.9643208344665575,0.9938904974958023,0.001358564797890374
100-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/100-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/100-m.jpg,540,400,25.112211321460926,0.9539446454161674,0.9776733884706724,0.0013429396489046607
101-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/101-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/101-m.jpg,540,400,27.903022096856127,0.909594071632291,0.9785836732334134,0.003056170046381772
102-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/102-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/102-m.jpg,540,400,26.364345688357865,0.9575267569195477,0.9775626904657118,0.0006932935960985556
103-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/103-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/103-m.jpg,540,400,18.86995586203176,0.873082693547829,0.9335719799464418,0.002259771528271962
104-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/104-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/104-m.jpg,540,400,28.5701873190116,0.9170439479528204,0.9932426945187093,0.0014504925982003747
105-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/105-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/105-m.jpg,540,400,28.71579924683975,0.8880067968943707,0.978182821203755,0.004523869117814913
106-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/106-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/106-m.jpg,540,400,30.69189495157267,0.9491228266218844,0.9960087341566084,0.0021492048750104274
107-m,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/SIR2_wild/107-m/errnet.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/107-m.jpg,540,400,25.711704601544504,0.8480129506302273,0.9840774208241299,0.006415160897771337
