image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
103,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/103/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/103.jpg,1114,717,17.03437058805941,0.7544115664449768,0.913446472616877,0.023299011135099454
107,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/107/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/107.jpg,1126,740,23.619935188154283,0.7791169232170579,0.8437280285468427,0.03884886922703807
110,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/110/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/110.jpg,678,517,16.151153155909668,0.5954093627397289,0.7561115039176378,0.06611796286972806
12,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/12/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/12.jpg,1612,1347,13.728341047128989,0.6111537407345128,0.7462536696142825,0.02759151419798111
15,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/15/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/15.jpg,1486,1937,15.96074449877191,0.6584200315485554,0.23115081309444152,0.014342402134807693
22,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/22/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/22.jpg,957,773,19.657531474513316,0.7236704160676005,0.8463213205014923,0.024187594134887174
23,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/23/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/23.jpg,793,735,20.96431306783138,0.6807712094843993,0.739233456426282,0.07402373083300012
25,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/25/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/25.jpg,670,783,24.276187635079264,0.7451099165881674,0.9371391704086266,0.034913929781722745
29,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/29/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/29.jpg,1894,1494,23.32089438996144,0.6418825661693118,0.9428562524351015,0.04955961957361246
3,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/3/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/3.jpg,2942,1935,22.56616354222158,0.6800253929233083,0.9304979523732021,0.020476457075358376
39,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/39/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/39.jpg,877,808,28.99839166040899,0.812524175991257,0.9820146980289387,0.01546235888396948
4,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/4/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/4.jpg,866,889,22.22458862971514,0.7294854821426598,0.8753745311878299,0.034456680556854045
46,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/46/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/46.jpg,1336,1099,25.142032827147773,0.7782827939190732,0.9530727972064071,0.021978951848600582
47,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/47/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/47.jpg,1676,1102,22.729620053966485,0.8343724119975574,0.9667221249950569,0.0033002911214940465
58,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/58/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/58.jpg,1133,736,34.07524489640198,0.8799649512433874,0.9936531582314413,0.003034049710408136
86,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/86/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/86.jpg,3456,2304,19.90036154861215,0.8162663729109682,0.7917363660083344,0.008888202666105497
87,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/87/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/87.jpg,1124,739,17.545216234974845,0.740823650798745,0.9114531593028729,0.00765679070314096
89,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/89/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/89.jpg,1124,740,20.4949030874007,0.8409085937252317,0.8847767969440535,0.004226102184612053
9,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/9/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/9.jpg,1179,970,24.04753777484054,0.8367930675159599,0.9628889013831262,0.007877054234461868
93,/localhome/xumx/dip_pj/ERRNet/results/eval_baseline/real20/93/baseline_eval.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/93.jpg,1123,744,23.37478479940769,0.8319441554516808,0.9627475602971437,0.0065077477947383
