image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-Focus-11-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-11-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-11-m.jpg,540,400,26.989980091431033,0.9029269979606395,0.9787410206688524,0.003552991414460034
1-Focus-13-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-13-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-13-m.jpg,540,400,26.94349791866033,0.8982732802913,0.9783401079623425,0.003702530258285556
1-Focus-16-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-16-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-16-m.jpg,540,400,25.855186103338504,0.8824439889830272,0.9739440289778317,0.003983677186960821
1-Focus-19-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-19-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-19-m.jpg,540,400,26.464735391562083,0.8803105483312818,0.9747004816311069,0.004068863212803932
1-Focus-22-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-22-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-22-m.jpg,540,400,25.872022581191718,0.8774908817715207,0.9734096479359227,0.0040287085606931965
1-Focus-27-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-27-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-27-m.jpg,540,400,25.078255319426432,0.8673789388760352,0.9695528050778066,0.0043995911171149605
1-Focus-32-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Focus-32-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Focus-32-m.jpg,540,400,25.385903511900644,0.8674464860217167,0.9706199830645164,0.004459005090964052
1-Thick-10-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Thick-10-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-10-m.jpg,540,400,24.251767399529136,0.8463796781340683,0.9616759581711487,0.006457088410513551
1-Thick-3-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Thick-3-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-3-m.jpg,540,400,24.853515789869988,0.8549686732444064,0.9679721155903176,0.005432782860397957
1-Thick-5-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_objects/1-Thick-5-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/objects/transmission_layer/1-Thick-5-m.jpg,540,400,25.385903511900644,0.8674464860217167,0.9706199830645164,0.004459005090964052
