image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
ab-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-10-m-3/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-10-m-3.png,540,400,17.642725301122578,0.7899284975836665,0.8657667141784338,0.012018679814100808
ab-3-m-32,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-3-m-32/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-3-m-32.png,540,400,16.802394937230826,0.8061061207630816,0.8742915708547849,0.010054505170505884
ab-5-m-11,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-11/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-11.png,540,400,20.425169808193793,0.8909189398459008,0.9404783816372183,0.005370999403621767
ab-5-m-13,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-13/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-13.png,540,400,20.81050308616932,0.8865253316325656,0.9382759450060864,0.005555818085279697
ab-5-m-16,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-16/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-16.png,540,400,20.550449656518314,0.8859868156618389,0.9375566783053702,0.005406304284821844
ab-5-m-19,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-19/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-19.png,540,400,21.48267410151655,0.8850024844620776,0.9319355431147901,0.0052551680016527805
ab-5-m-22,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-22/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-22.png,540,400,21.110736342202596,0.8798897222549621,0.9236527150192362,0.004691492069125666
ab-5-m-27,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-27/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-27.png,540,400,18.80206393492775,0.8457012444431865,0.8987174399797295,0.005926694358911183
ab-5-m-32,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ab-5-m-32/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ab-5-m-32.png,540,400,17.165274927764553,0.8050497587713554,0.8773295067997987,0.010216580340570283
ae-10-m-3,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_postcard/ae-10-m-3/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/postcard/transmission_layer/ae-10-m-3.png,540,400,23.06799252200326,0.887208659976355,0.9283105311871808,0.004835408171596009
