image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/1-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/1-m.jpg,540,400,23.798741581432857,0.8037987321545866,0.9446425503062573,0.01900359985718923
10-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/10-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/10-m.jpg,540,400,22.76149386229769,0.9487985423106755,0.9953144642545084,0.0031397489056492612
100-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/100-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/100-m.jpg,540,400,25.12344203142873,0.9572654188052502,0.9736199778166842,0.001057677265233261
101-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/101-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/101-m.jpg,540,400,29.58906027786741,0.9353535396380876,0.9840946857991761,0.0027150742893149197
102-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/102-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/102-m.jpg,540,400,26.575549677894344,0.9565800033079827,0.9838692053225245,0.0005819838055325759
103-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/103-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/103-m.jpg,540,400,17.967566812790253,0.8635085630770932,0.9350365443036279,0.0023710248207693273
104-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/104-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/104-m.jpg,540,400,29.009346835379013,0.9405699977637102,0.9955234454350746,0.0006921231234090452
105-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/105-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/105-m.jpg,540,400,16.18563587402233,0.6898061532788232,0.639463847732842,0.02527981056024545
106-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/106-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/106-m.jpg,540,400,28.752933083948196,0.9487184366851148,0.9953052840490529,0.0021410049221681354
107-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/107-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/107-m.jpg,540,400,26.8386208239989,0.9396424846229371,0.984141295354104,0.005338589881658057
108-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/SIR2_wild/108-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/wild/transmission_layer/108-m.jpg,540,400,17.88825462960935,0.9320844979780983,0.9601875662554352,0.003798191812496613
