image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
103,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/103/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/103.jpg,1114,717,17.429547463933975,0.7690580176709642,0.8910947595085918,0.015060300828590799
107,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/107/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/107.jpg,1126,740,25.01382506990723,0.837746105413339,0.9033072820881679,0.025602004095595297
110,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/110/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/110.jpg,678,517,19.253245073942594,0.5264195336016178,0.8673393236315582,0.06338188572047634
12,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/12/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/12.jpg,1612,1347,19.19415040044553,0.7953082677219316,0.9328079017246668,0.01030989187941215
15,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/15/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/15.jpg,1486,1937,16.56651947058662,0.695947061112082,0.3152387041063262,0.010270878525018233
22,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/22/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/22.jpg,957,773,19.054808310768536,0.7137767860474474,0.8654553540721999,0.02035613115210075
23,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/23/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/23.jpg,793,735,19.319107563744545,0.6594571853681669,0.7942766496726118,0.05103589359849567
25,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/25/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/25.jpg,670,783,23.206262298179304,0.7107320566847598,0.9270438336784282,0.0398961914235889
29,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/29/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/29.jpg,1894,1494,23.877273710802452,0.6730666384169249,0.9455100719230904,0.04938699959829623
3,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/real20/3/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/real20/transmission_layer/3.jpg,2942,1935,23.237846518703794,0.7281301146954235,0.9387247638449056,0.01485443100285489
