image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
1-Focus-11-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-11-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-11-m.jpg,540,400,26.990009880455528,0.9029236369260943,0.9787387148649854,0.0035528753228766716
1-Focus-13-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-13-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-13-m.jpg,540,400,26.94301635176962,0.8982615672598936,0.9783385565118026,0.003702708611711134
1-Focus-16-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-16-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-16-m.jpg,540,400,25.855599184597832,0.8824390426411065,0.9739452061443099,0.003983645561014395
1-Focus-19-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-19-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-19-m.jpg,540,400,26.46499611229163,0.8803047002364224,0.9746996484242909,0.004068877727591087
1-Focus-22-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-22-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-22-m.jpg,540,400,25.872083936902456,0.8774854735130315,0.9734076355400794,0.004028810184893272
1-Focus-27-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-27-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-27-m.jpg,540,400,25.07805786741165,0.8673681179184962,0.9695548458237375,0.004399548160381758
1-Focus-32-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Focus-32-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Focus-32-m.jpg,540,400,25.38608312215073,0.8674482639580318,0.9706197204302939,0.004459074366285831
1-Thick-10-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Thick-10-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-10-m.jpg,540,400,24.252183554237007,0.8463842713080284,0.9616802119667046,0.0064567125219459785
1-Thick-3-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Thick-3-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-3-m.jpg,540,400,24.85327579859151,0.8549655804952399,0.9679697597853509,0.005432947031121314
1-Thick-5-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-Thick-5-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-Thick-5-m.jpg,540,400,25.38608312215073,0.8674482639580318,0.9706197204302939,0.004459074366285831
1-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/1-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/1-m.jpg,540,400,23.798696274641923,0.8037943204065453,0.9446419578030572,0.019003935759800816
10-Focus-11-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-11-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-11-m.jpg,540,400,22.828170826149304,0.8834414326689711,0.9815887676457073,0.0026822598629862838
10-Focus-13-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-13-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-13-m.jpg,540,400,23.10843233582446,0.8850648919159178,0.9820565336656615,0.002348174608955312
10-Focus-16-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-16-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-16-m.jpg,540,400,22.872453702151123,0.8809818331199232,0.9819757907270633,0.0024995612402122086
10-Focus-19-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-19-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-19-m.jpg,540,400,23.71809286952176,0.8852170259015933,0.9844280168136811,0.0023571153128610963
10-Focus-22-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-22-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-22-m.jpg,540,400,22.95069355553995,0.8755963446907199,0.9839917716098368,0.002481394532633701
10-Focus-27-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-27-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-27-m.jpg,540,400,23.183032317143763,0.8821544807848981,0.9831161844858217,0.0024138344456334135
10-Focus-32-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Focus-32-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Focus-32-m.jpg,540,400,22.942537193040593,0.8749688013240392,0.9821024137817408,0.0023930867123999632
10-Thick-10-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Thick-10-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Thick-10-m.jpg,540,400,24.062565965320537,0.8899272527062209,0.9853663185452232,0.001988836541899269
10-Thick-3-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Thick-3-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Thick-3-m.jpg,540,400,24.00637978127227,0.8909473933583391,0.9838555316532084,0.001981697109963812
10-Thick-5-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-Thick-5-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-Thick-5-m.jpg,540,400,22.954516247979523,0.8753506047990905,0.9822349484036996,0.002380640937162176
10-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/10-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/10-m.jpg,540,400,22.76160801284548,0.9487978054982485,0.9953143751858238,0.003139714352136503
100-m,/localhome/xumx/dip_pj/ERRNet/results/errnet_naf_refiner_improved_best/sir2_withgt/100-m/naf_refiner.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/sir2_withgt/transmission_layer/100-m.jpg,540,400,25.123225815659218,0.9572619921321049,0.9736168680914707,0.0010578568305288927
