epoch,train_loss,train_l1,train_ref,train_bg,train_grad,val_psnr,val_ssim,val_lmse,lr
1,0.10012343,0.02745794,0.06967421,0.00276181,0.02300816,29.11252695,0.94369466,0.00340056,0.0001000000
2,0.09928381,0.02727040,0.06877785,0.00363300,0.02327309,29.23067303,0.94408962,0.00341028,0.0001000000
3,0.09780113,0.02690298,0.06758099,0.00397378,0.02323714,29.30435431,0.94463776,0.00335251,0.0001000000
4,0.09743391,0.02678625,0.06723234,0.00435922,0.02325515,29.40458530,0.94454530,0.00338981,0.0001000000
5,0.09522316,0.02607704,0.06568154,0.00472728,0.02282768,29.49345490,0.94432796,0.00337295,0.0001000000
6,0.09427024,0.02585608,0.06490591,0.00484308,0.02297485,29.55608482,0.94520442,0.00329994,0.0001000000
7,0.09464777,0.02593099,0.06509888,0.00516235,0.02327313,29.59337329,0.94508261,0.00331299,0.0001000000
8,0.09374132,0.02565817,0.06442001,0.00543463,0.02304485,29.57937973,0.94574693,0.00328338,0.0001000000
9,0.09313593,0.02553126,0.06389957,0.00562842,0.02297983,29.65791584,0.94572043,0.00332554,0.0001000000
10,0.09321650,0.02554723,0.06394942,0.00560531,0.02318511,29.60539139,0.94508152,0.00335707,0.0001000000
11,0.09295009,0.02549334,0.06370009,0.00577774,0.02312227,29.72994041,0.94586011,0.00330655,0.0001000000
12,0.09111312,0.02506959,0.06230790,0.00579794,0.02286150,29.72261710,0.94613206,0.00329410,0.0001000000
13,0.09176147,0.02522745,0.06268170,0.00605941,0.02337471,29.68243062,0.94623305,0.00326531,0.0001000000
14,0.09023877,0.02483784,0.06153861,0.00616128,0.02322004,29.63563915,0.94569844,0.00333461,0.0001000000
15,0.08938659,0.02458641,0.06094514,0.00619957,0.02305146,29.75750841,0.94568416,0.00330738,0.0001000000
16,0.09072200,0.02483807,0.06199686,0.00635503,0.02298308,29.77133338,0.94631797,0.00325260,0.0001000000
17,0.08925771,0.02451542,0.06085694,0.00645403,0.02271837,29.75855676,0.94615868,0.00328265,0.0001000000
18,0.08875092,0.02432860,0.06048938,0.00656329,0.02292117,29.79632072,0.94640323,0.00330306,0.0001000000
19,0.08678132,0.02395750,0.05887630,0.00652864,0.02315354,29.83581601,0.94644019,0.00328431,0.0001000000
20,0.08836976,0.02428974,0.06004639,0.00688842,0.02311527,29.77788842,0.94642301,0.00328577,0.0001000000
